"","team","No.","Pos.","Player","Date of birth (age)","Caps","Club"
"475","Cameroon",15,"3MF","Pierre Kunde","(1995-07-26)26 July 1995 (aged 23)",6,"Mainz 05"
"476","Cameroon",16,"1GK","Fabrice Ondoa","(1995-12-24)24 December 1995 (aged 23)",40,"Oostende"
"477","Cameroon",17,"4FW","Karl Toko Ekambi","(1992-09-14)14 September 1992 (aged 26)",22,"Villarreal"
"478","Cameroon",18,"4FW","Joel Tagueu","(1993-11-06)6 November 1993 (aged 25)",4,"Marítimo"
"479","Cameroon",19,"4FW","Jacques Zoua","(1991-09-06)6 September 1991 (aged 27)",24,"Astra Giurgiu"
"480","Cameroon",20,"3MF","Olivier Boumal","(1989-09-17)17 September 1989 (aged 29)",3,"Panionios"
"481","Cameroon",21,"3MF","Wilfrid Kaptoum","(1996-07-07)7 July 1996 (aged 22)",0,"Real Betis"
"482","Cameroon",22,"2DF","Jean-Armel Kana-Biyik","(1989-07-03)3 July 1989 (aged 29)",6,"Kayserispor"
"483","Cameroon",23,"1GK","Carlos Kameni","(1984-02-18)18 February 1984 (aged 35)",70,"Fenerbahçe"
"484","Ghana",1,"1GK","Richard Ofori","(1993-11-01)November 1, 1993 (aged 25)",15,"Maritzburg United"
"485","Ghana",2,"2DF","Joseph Larweh Attamah","(1994-05-22)May 22, 1994 (aged 25)",5,"Istanbul Basaksehir"
"486","Ghana",3,"4FW","Asamoah Gyan","(1985-11-22)November 22, 1985 (aged 33)",106,"Kayserispor"
"487","Ghana",4,"2DF","Jonathan Mensah","(1990-07-13)July 13, 1990 (aged 28)",61,"Columbus Crew"
"488","Ghana",5,"3MF","Thomas Partey","(1993-06-13)June 13, 1993 (aged 26)",21,"Atlético Madrid"
"489","Ghana",6,"3MF","Afriyie Acquah","(1992-01-05)January 5, 1992 (aged 27)",34,"Empoli"
"490","Ghana",7,"3MF","Christian Atsu","(1992-01-10)January 10, 1992 (aged 27)",61,"Newcastle United"
"491","Ghana",8,"4FW","Owusu Kwabena","(1997-06-18)June 18, 1997 (aged 22)",0,"Salamanca"
"492","Ghana",9,"4FW","Jordan Ayew","(1991-09-11)September 11, 1991 (aged 27)",53,"Crystal Palace"
"493","Ghana",10,"3MF","André Ayew","(1989-12-17)December 17, 1989 (aged 29)",81,"Fenerbahçe"
"494","Ghana",11,"3MF","Mubarak Wakaso","(1990-07-25)July 25, 1990 (aged 28)",54,"Alavés"
"495","Ghana",12,"1GK","Lawrence Ati-Zigi","(1996-11-29)November 29, 1996 (aged 22)",3,"Sochaux"
"496","Ghana",13,"4FW","Caleb Ekuban","(1994-03-23)March 23, 1994 (aged 25)",2,"Trabzonspor"
"497","Ghana",14,"2DF","Lumor Agbenyenu","(1996-08-15)August 15, 1996 (aged 22)",12,"Göztepe"
"498","Ghana",15,"2DF","Kasim Nuhu","(1995-06-22)June 22, 1995 (aged 23)",6,"1899 Hoffenheim"
"499","Ghana",16,"1GK","Felix Annan","(1994-11-22)November 22, 1994 (aged 24)",1,"Asante Kotoko"
"500","Ghana",17,"2DF","Baba Rahman","(1994-07-02)July 2, 1994 (aged 24)",24,"Reims"
"501","Ghana",18,"2DF","Joseph Aidoo","(1995-09-29)September 29, 1995 (aged 23)",1,"Genk"
"502","Ghana",19,"3MF","Samuel Owusu","(1996-03-28)March 28, 1996 (aged 23)",0,"Cukaricki"
"503","Ghana",20,"3MF","Kwadwo Asamoah","(1988-12-09)December 9, 1988 (aged 30)",71,"Internazionale"
"504","Ghana",21,"2DF","John Boye","(1987-04-23)April 23, 1987 (aged 32)",64,"Metz"
"505","Ghana",22,"2DF","Andy Yiadom","(1991-12-02)December 2, 1991 (aged 27)",5,"Reading"
"506","Ghana",23,"3MF","Thomas Agyepong","(1996-10-10)October 10, 1996 (aged 22)",5,"Hibernian"
"507","Benin",1,"1GK","Fabien Farnolle","(1985-02-05)5 February 1985 (aged 34)",23,"Malatyaspor"
"508","Benin",2,"2DF","Séidou Barazé","(1990-10-20)20 October 1990 (aged 28)",16,"Yzeure"
"509","Benin",3,"2DF","Khaled Adénon","(1985-07-28)28 July 1985 (aged 33)",59,"Amiens"
"510","Benin",4,"3MF","Tidjani Anaane","(1997-03-27)27 March 1997 (aged 22)",1,"Ben Guerdane"
"511","Benin",5,"2DF","Junior Salomon","(1986-04-08)8 April 1986 (aged 33)",21,"Plateau United"
"512","Benin",6,"2DF","Olivier Verdon","(1995-10-05)5 October 1995 (aged 23)",10,"Sochaux-Montbéliard"
"513","Benin",7,"4FW","David Djigla","(1995-08-23)23 August 1995 (aged 23)",19,"Niort"
"514","Benin",8,"3MF","Jordan Adéoti","(1989-03-12)12 March 1989 (aged 30)",22,"Auxerre"
"515","Benin",9,"4FW","Steve Mounié","(1994-09-29)29 September 1994 (aged 24)",14,"Huddersfield Town"
"516","Benin",10,"4FW","Mickaël Poté","(1984-09-24)24 September 1984 (aged 34)",46,"Adana Demirspor"
"517","Benin",11,"2DF","Emmanuel Imorou","(1988-09-16)16 September 1988 (aged 30)",12,"Caen"
"518","Benin",12,"2DF","David Kiki","(1993-11-25)25 November 1993 (aged 25)",18,"Brest"
"519","Benin",13,"2DF","Moise Adilehou","(1995-11-01)1 November 1995 (aged 23)",3,"Levadiakos"
"520","Benin",14,"4FW","Cebio Soukou","(1992-10-02)2 October 1992 (aged 26)",1,"Hansa Rostock"
"521","Benin",15,"3MF","Sessi D'Almeida","(1995-11-20)20 November 1995 (aged 23)",5,"Yeovil Town"
"522","Benin",16,"1GK","Saturnin Allagbé","(1993-11-22)22 November 1993 (aged 25)",13,"Niort"
"523","Benin",17,"3MF","Stéphane Sessègnon","(1984-06-01)1 June 1984 (aged 35)",73,"Gençlerbirligi"
"524","Benin",18,"3MF","Mama Séïbou","(1995-12-28)28 December 1995 (aged 23)",22,"SC Toulon"
"525","Benin",19,"4FW","Segbé Azankpo","(1993-05-06)6 May 1993 (aged 26)",6,"FK Senica"
"526","Benin",20,"4FW","Jodel Dossou","(1992-03-17)17 March 1992 (aged 27)",24,"Vaduz"
"527","Benin",21,"3MF","Rodrigue Kossi","(2000-07-11)11 July 2000 (aged 18)",0,"Club Africain"
"528","Benin",22,"2DF","Rodrigue Fassinou","(1999-05-22)22 May 1999 (aged 20)",11,"ASPAC"
"529","Benin",23,"1GK","Chérif Dine Kakpo","(1997-12-01)1 December 1997 (aged 21)",0,"Buffles"
"530","Guinea-Bissau",1,"1GK","Jonas Mendes","(1989-11-20)20 November 1989 (aged 29)",31,"Académico Viseu"
"531","Guinea-Bissau",2,"2DF","Nadjack","(1994-02-06)6 February 1994 (aged 25)",6,"Rio Ave"
"532","Guinea-Bissau",3,"3MF","Burá","(1995-12-22)22 December 1995 (aged 23)",0,"Aves"
"533","Guinea-Bissau",4,"2DF","Marcelo Djaló","(1993-10-08)8 October 1993 (aged 25)",0,"Fulham"
"534","Guinea-Bissau",5,"2DF","Rudinilson Silva","(1994-08-20)20 August 1994 (aged 24)",14,"Kauno Žalgiris"
"535","Guinea-Bissau",6,"2DF","Tomás Dabó","(1993-10-20)20 October 1993 (aged 25)",6,"Rieti"
"536","Guinea-Bissau",7,"3MF","Zezinho","(1992-09-23)23 September 1992 (aged 26)",31,"Senica"
"537","Guinea-Bissau",8,"3MF","João Jaquité","(1996-02-22)22 February 1996 (aged 23)",1,"Tondela"
"538","Guinea-Bissau",9,"4FW","Romário Baldé","(1996-12-25)25 December 1996 (aged 22)",0,"Académica"
"539","Guinea-Bissau",10,"3MF","Pelé","(1991-09-29)29 September 1991 (aged 27)",6,"Nottingham Forest"
"540","Guinea-Bissau",11,"4FW","Jorginho","(1995-09-21)21 September 1995 (aged 23)",4,"CSKA Sofia"
"541","Guinea-Bissau",12,"1GK","Rui Dabó","(1994-10-05)5 October 1994 (aged 24)",1,"Armacenenses"
"542","Guinea-Bissau",13,"4FW","Frédéric Mendy","(1988-09-18)18 September 1988 (aged 30)",11,"Vitória de Setúbal"
"543","Guinea-Bissau",14,"2DF","Juary Soares","(1992-02-20)20 February 1992 (aged 27)",14,"Mafra"
"544","Guinea-Bissau",15,"4FW","Toni Silva","(1993-09-15)15 September 1993 (aged 25)",12,"Al Ittihad Alexandria"
"545","Guinea-Bissau",16,"3MF","Moreto Cassamá","(1998-02-16)16 February 1998 (aged 21)",0,"Reims"
"546","Guinea-Bissau",17,"4FW","Mama Baldé","(1995-11-06)6 November 1995 (aged 23)",0,"Aves"
"547","Guinea-Bissau",18,"4FW","Piqueti","(1993-02-12)12 February 1993 (aged 26)",15,"Al-Shoulla"
"548","Guinea-Bissau",19,"4FW","Joseph Mendes","(1991-03-30)30 March 1991 (aged 28)",1,"Ajaccio"
"549","Guinea-Bissau",20,"3MF","Sori Mané","(1996-04-03)3 April 1996 (aged 23)",7,"Cova Piedade"
"550","Guinea-Bissau",21,"2DF","Nanú","(1994-05-17)17 May 1994 (aged 25)",0,"Marítimo"
"551","Guinea-Bissau",22,"2DF","Mamadu Candé","(1990-08-29)29 August 1990 (aged 28)",15,"Santa Clara"
"552","Guinea-Bissau",23,"1GK","Edimar Cá","(2000-08-14)14 August 2000 (aged 18)",0,"UDIB"
